Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
14, 0.045, 0.182077, 0.0112961, 0.109894, 0.208328
14, 0.05, 0.199113, 0.0137632, 0.118764, 0.24538
14, 0.055, 0.216421, 0.0165626, 0.127878, 0.286796
14, 0.06, 0.234495, 0.0196722, 0.137808, 0.334744
14, 0.065, 0.25364, 0.0229559, 0.149055, 0.391064
14, 0.07, 0.273603, 0.0261704, 0.161647, 0.455484
14, 0.075, 0.293572, 0.0290933, 0.174949, 0.524732
14, 0.08, 0.312717, 0.031664, 0.188061, 0.594314
14, 0.085, 0.330243, 0.033851, 0.200088, 0.658772
14, 0.09, 0.313025, 0.0274869, 0.229865, 0.561139
14, 0.095, 0.326428, 0.0313356, 0.240647, 0.604624
15, 0, 0.00311704, 0.000412925, -0.00647183, 0.000736727
15, 0.005, 0.0225425, 0.000549894, 0.0144514, 0.00519914
15, 0.01, 0.041545, 0.000956811, 0.033519, 0.0168643
15, 0.015, 0.0595305, 0.00160496, 0.0504467, 0.0334118
15, 0.02, 0.0764773, 0.00246334, 0.0657388, 0.0530951
15, 0.025, 0.092571, 0.0035086, 0.0799507, 0.0750656
15, 0.03, 0.108007, 0.00472424, 0.093474, 0.0989756
15, 0.035, 0.122941, 0.00609875, 0.106553, 0.124692
15, 0.04, 0.137486, 0.00762457, 0.119331, 0.152161
15, 0.045, 0.151723, 0.00929757, 0.131893, 0.181351
15, 0.05, 0.165712, 0.0111168, 0.144286, 0.212252
15, 0.055, 0.179512, 0.0130838, 0.156552, 0.244906
15, 0.06, 0.193187, 0.0152021, 0.16874, 0.279456
15, 0.065, 0.206825, 0.0174746, 0.180932, 0.316223
15, 0.07, 0.220538, 0.0199003, 0.19325, 0.355752
15, 0.075, 0.234454, 0.0224691, 0.20586, 0.398811
15, 0.08, 0.248694, 0.0251559, 0.218943, 0.44628
15, 0.085, 0.263329, 0.0279195, 0.232658, 0.498925
15, 0.09, 0.278343, 0.0307078, 0.24708, 0.557113
15, 0.095, 0.293627, 0.0334714, 0.262166, 0.620598
16, 0, 0.00152853, 0.000482001, -0.00117929, 0.00194322
16, 0.005, 0.0167946, 0.000596795, 0.00694485, 0.00436723
16, 0.01, 0.0316941, 0.000929536, 0.0144335, 0.0113201
16, 0.015, 0.045948, 0.0014609, 0.0210177, 0.022179
16, 0.02, 0.0595641, 0.00217173, 0.026725, 0.0363486
16, 0.025, 0.0726533, 0.00304764, 0.0316982, 0.0533984
16, 0.03, 0.0853322, 0.00407818, 0.0360913, 0.0730389
16, 0.035, 0.0976966, 0.00525544, 0.040036, 0.0950782
16, 0.04, 0.109821, 0.00657315, 0.0436387, 0.119391
16, 0.045, 0.121763, 0.00802595, 0.0469854, 0.145902
16, 0.05, 0.13357, 0.00960894, 0.0501473, 0.174571
16, 0.055, 0.145283, 0.0113172, 0.0531858, 0.205393
16, 0.06, 0.156935, 0.0131453, 0.0561549, 0.238387
16, 0.065, 0.16856, 0.0150874, 0.0591034, 0.273596
16, 0.07, 0.180184, 0.0171364, 0.0620752, 0.31108
16, 0.075, 0.191832, 0.0192844, 0.065109, 0.350908
16, 0.08, 0.203524, 0.0215226, 0.0682372, 0.393155
16, 0.085, 0.215275, 0.0238416, 0.0714856, 0.437894
16, 0.09, 0.227096, 0.0262317, 0.074872, 0.485185
16, 0.095, 0.23899, 0.0286837, 0.0784057, 0.535077
17, 0, 0.000342266, 0.000709075, 0.00118053, 0.000897378
17, 0.005, 0.0157392, 0.000823482, 0.00198992, 0.00366477
17, 0.01, 0.0307759, 0.00115807, 0.00232603, 0.013898
17, 0.015, 0.0452226, 0.00169508, 0.00192199, 0.0300757
17, 0.02, 0.0590288, 0.00241409, 0.000803429, 0.050744
17, 0.025, 0.0722473, 0.00329697, -0.00087868, 0.0748575
17, 0.03, 0.0849665, 0.00432908, -0.00296435, 0.101763
17, 0.035, 0.097277, 0.0054988, -0.00532512, 0.131088
17, 0.04, 0.10926, 0.00679674, -0.00786782, 0.162636
17, 0.045, 0.120983, 0.0082151, -0.0105274, 0.196328
